time,topic,payload
2200,stroke/front,"{""sec"":18,""usec"":383398,""left"":0.0088623050000000000,""right"":0.0016113280000000000}"
2232,acc,"{""sec"":18,""usec"":385009,""ax"":7052,""ay"":8196,""az"":-26712,""gx"":7052,""gy"":8196,""gz"":-26712,""mx"":7052,""my"":8196,""mz"":-26712,""h"":7052,""r"":8196,""p"":-26712,""qw"":7052,""qx"":8196,""qy"":-26712,""qz"":8192,""lx"":7052,""ly"":8196,""lz"":-26712,""x"":7052,""y"":8196,""z"":-26712,""ss"":0,""sg"":0,""sa"":0,""sm"":0}"
2240,water,"{""sec"":18,""usec"":409614,""inlet_temp"":0,""outlet_temp"":0}"
2251,stroke/rear,"{""sec"":18,""usec"":409942,""right"":3.2991943360000000,""left"":3.2991943360000000}"
2265,ecu,"{""sec"":18,""usec"":410874,""ect"":2.8442382810000000,""tps"":0.0036621090000000000,""iap"":2.8393554690000000,""gp"":2.39257812500000}"
2271,rpm,"{""sec"":18,""usec"":412062,""rpm"":0}"
2276,rpm,"{""sec"":18,""usec"":459537,""rpm"":0}"
2300,stroke/front,"{""sec"":18,""usec"":483587,""left"":0.0080566410000000000,""right"":0.0024169920000000000}"
2332,acc,"{""sec"":18,""usec"":485210,""ax"":7052,""ay"":8196,""az"":-26712,""gx"":7052,""gy"":8196,""gz"":-26712,""mx"":7052,""my"":8196,""mz"":-26712,""h"":7052,""r"":8196,""p"":-26712,""qw"":7052,""qx"":8196,""qy"":-26712,""qz"":8192,""lx"":7052,""ly"":8196,""lz"":-26712,""x"":7052,""y"":8196,""z"":-26712,""ss"":0,""sg"":0,""sa"":0,""sm"":0}"
2340,water,"{""sec"":18,""usec"":509658,""inlet_temp"":0,""outlet_temp"":0}"
2348,stroke/rear,"{""sec"":18,""usec"":509971,""right"":0,""left"":0}"
2360,ecu,"{""sec"":18,""usec"":510342,""ect"":2.8442382810000000,""tps"":0,""iap"":2.84179687500000,""gp"":2.3901367190000000}"
